"","TMask1.RESP.Trial.","TMask2.RESP.Trial.","TMask3.RESP.Trial.","TMask4.RESP.Trial.","TMask5.RESP.Trial.","TMask6.RESP.Trial.","TMask7.RESP.Trial.","TMask8.RESP.Trial.","TMask9.RESP.Trial.","TMask10.RESP.Trial.","TMask11.RESP.Trial.","TMask12.RESP.Trial.","TMask13.RESP.Trial.","TMask14.RESP.Trial.","TMask15.RESP.Trial.","TMask16.RESP.Trial.","TMask17.RESP.Trial.","TMask18.RESP.Trial.","TMask1.RT.Trial.","TMask2.RT.Trial.","TMask3.RT.Trial.","TMask4.RT.Trial.","TMask5.RT.Trial.","TMask6.RT.Trial.","TMask7.RT.Trial.","TMask8.RT.Trial.","TMask9.RT.Trial.","TMask10.RT.Trial.","TMask11.RT.Trial.","TMask12.RT.Trial.","TMask13.RT.Trial.","TMask14.RT.Trial.","TMask15.RT.Trial.","TMask16.RT.Trial.","TMask17.RT.Trial.","TMask18.RT.Trial."
"63",0,0,"0","{SPACE}","{SPACE}","{SPACE}","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,346,137,387,0,0,0,303,0,0,0,0,0,0,0,0
"64",0,0,"0","{SPACE}","0","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,345,0,345,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,0,"0","0","{SPACE}","{SPACE}","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,36,406,0,0,0,303,0,0,0,0,0,0,0,0
"66",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,5,0,392,0,0,22,0,0,0,0,0,0,0,0
"67",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,231,0,6,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,223,44,390,65,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,"0","{SPACE}","0","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,230,266,0,348,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,70,0,348,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,"0","0","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,22,0,0,0,0,0,0,0,0
"73",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,266,0,348,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,"0","{SPACE}","0","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,301,0,264,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,"{SPACE}","0","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,292,0,0,0,113,0,0,22,0,0,0,0,0,0,0,0
"76",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,271,259,0,229,0,0,303,0,0,0,0,0,0,0,0
"77",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,42,0,0,292,0,0,22,0,0,0,0,0,0,0,0
"78",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,178,133,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,344,0,0,229,0,0,303,0,0,0,0,0,0,0,0
"80",0,0,"0","0","0","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"81",0,0,"0","0","{SPACE}","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,22,0,0,0,0,0,0,0,0
"82",0,0,"0","0","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,22,0,0,0,0,0,0,0,0
"83",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,426,0,36,348,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,386,409,0,113,0,0,22,0,0,0,0,0,0,0,0
"85",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,411,345,0,348,0,0,0,0,0,0,0,0,0,0,0
"86",0,0,"0","0","0","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"87",0,0,"0","{SPACE}","{SPACE}","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,287,387,345,0,0,0,0,0,0,0,0,0,0,0,0
"88",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,284,351,0,0,0,0,22,0,0,0,0,0,0,0,0
"89",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,310,252,0,292,0,0,22,0,0,0,0,0,0,0,0
"90",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,330,0,36,348,0,0,0,0,0,0,0,0,0,0,0
"91",0,0,"0","{SPACE}","0","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,"0","0","{SPACE}","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0,0,"0","{SPACE}","0","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,64,0,345,0,0,0,0,0,0,0,0,0,0,0,0
"94",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,409,0,113,0,0,22,0,0,0,0,0,0,0,0
"95",0,0,"0","{SPACE}","0","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,399,0,345,0,0,0,0,0,0,0,0,0,0,0,0
"96",0,0,"0","{SPACE}","0","{SPACE}","0","{SPACE}",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,54,0,221,0,202,0,303,0,0,0,0,0,0,0,0
"97",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,186,363,0,392,0,0,22,0,0,0,0,0,0,0,0
"98",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,82,5,0,392,0,0,22,0,0,0,0,0,0,0,0
"99",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,166,0,0,229,0,0,303,0,0,0,0,0,0,0,0
"100",0,0,"0","0","0","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,299,351,0,0,0,0,22,0,0,0,0,0,0,0,0
"102",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,345,0,348,0,0,0,0,0,0,0,0,0,0,0
"103",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,343,259,0,229,0,0,303,0,0,0,0,0,0,0,0
"104",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,95,371,292,0,0,22,0,0,0,0,0,0,0,0
"105",0,0,"0","0","0","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"106",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,411,0,348,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,77,0,0,113,0,0,22,0,0,0,0,0,0,0,0
"108",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,197,252,0,292,0,0,22,0,0,0,0,0,0,0,0
"109",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,335,0,36,348,0,0,0,0,0,0,0,0,0,0,0
"110",0,0,"{SPACE}","{SPACE}","0","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,455,149,0,0,348,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,444,420,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,85,108,0,348,0,0,0,0,0,0,0,0,0,0,0
