ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli3,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,39,1,S3,194,4,-0.725,-0.45,-0.791,-0.469,D91,13.889,7.783,22.224673,-0.63,5,10.836,-0.5875,15,M O R E,{SHIFT}More{SPACE},767,91,G R A V E L,{SHIFT}Gravel{SPACE},1761,3,1,1,831,1299
NetworksDemasking,39,1,S3,196,2,-0.327,-0.503,-0.685,-0.716,D92,9.057,9.026,8.733651,-0.7005,5.5,9.0415,-0.415,4,T E R R O R,{SHIFT}Terror{SPACE},1401,92,G R O S S,{SHIFT}Gross{SPACE},1189,2,1,1,994,938
NetworksDemasking,39,1,S3,67,4,-0.322,-0.501,-0.185,-0.616,D93,4.564,8.079,12.955408,-0.4005,5.5,6.3215,-0.4115,6,P A R C H E D,{SHIFT}Parched{SPACE},1476,93,H A I L,{SHIFT}Hail{SPACE},1075,3,1,1,2669,1234
NetworksDemasking,39,1,S3,35,5,-0.655,-0.707,-0.659,-0.539,D94,10.208,11.099,21.989979,-0.599,6,10.6535,-0.681,4,M I R R O R,{SHIFT}Mirror{SPACE},1065,94,H A P P E N,{SHIFT}Happen{SPACE},1184,3,1,1,942,931
NetworksDemasking,39,1,S3,90,5,0.006,-0.663,-0.175,-0.495,D95,5.004,8.432,19.028217,-0.335,6.5,6.718,-0.3285,4,S P R A I N,{SHIFT}Sprain{SPACE},1541,95,H A R M F U L,{SHIFT}Harmful{SPACE},1583,2,1,1,2668,1263
NetworksDemasking,39,1,S3,233,6,-0.078,-0.72,-0.329,-0.576,D96,11.607,7.615,21.798234,-0.4525,8,9.611,-0.399,3,D E F I N I T I O N,{SHIFT}Definition{SPACE},13127,96,H E L P E R,{SHIFT}Helper{SPACE},1010,3,1,1,2987,1149
NetworksDemasking,39,1,S3,123,3,-0.117,-0.821,-0.142,-0.786,D97,8.437,10.353,15.770623,-0.464,7,9.395,-0.469,6,I N T E R S T A T E,{SHIFT}{SHIFT}Interstate{SPACE},3611,97,H I L L,{SHIFT}Hill{SPACE},1172,3,1,1,2610,3317
NetworksDemasking,39,1,S3,16,6,-0.387,-0.132,-0.436,0.01,D98,8.596,4.094,21.187808,-0.213,7.5,6.345,-0.2595,6,A S L E E P,{SHIFT}Asleep{SPACE},2365,98,H I T C H H I K E,{SHIFT}Hitchike{SPACE},4015,2,1,1,1493,3796
NetworksDemasking,39,1,S3,115,5,-0.747,-0.483,-0.848,-0.163,D99,10.151,6.87,21.621002,-0.5055,4,8.5105,-0.615,4,E X I T,{SHIFT}Exit{SPACE},1167,99,H O O T,{SHIFT}Hoot{SPACE},926,4,1,1,1148,1080
NetworksDemasking,39,1,S3,166,6,0.048,-0.216,-0.563,-0.383,D100,9.592,5.835,27.234213,-0.473,7,7.7135,-0.084,15,S T A C K,{SHIFT}Stack{SPACE},1235,100,H O R O S C O P E,{SHIFT}Horoscope{SPACE},3751,3,1,1,522,2622
