ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli2,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,TRecogniseTarget
NetworksDemasking,38,1,S2,92,4,-0.149,-0.533,-0.029,-0.531,C103,6.537,8.081,21.396321,-0.28,5,7.309,-0.341,15,P I O U S,PIOUS{SPACE},1656,103,H A R D Y,HARDY{SPACE},1407,3,1,1,2273,1823
NetworksDemasking,38,1,S2,27,3,-0.181,-0.374,-0.031,-0.605,C104,5.927,8.41,12.403831,-0.318,6.5,7.1685,-0.2775,1,S O N N E T,SONNET{SPACE},1350,104,H A R M O N Y,HARMONY{SPACE},2402,2,1,1,2276,2405
NetworksDemasking,38,1,S2,229,5,-0.758,-0.69,-0.72,-0.624,C105,8.861,7.882,20.372558,-0.672,5.5,8.3715,-0.724,3,L E A F,LEAF{SPACE},927,105,H A R V E S T,HARVEST{SPACE},3109,2,1,1,1396,1772
NetworksDemasking,38,1,S2,157,6,-0.742,-0.672,-0.567,-0.48,C106,7.918,6.896,25.174652,-0.5235,4.5,7.407,-0.707,3,T A X I,TAXI{SPACE},2380,106,H I K E R,HIKER{SPACE},2029,2,1,1,3197,2761
NetworksDemasking,38,1,S2,29,2,-0.189,-0.757,-0.104,-0.693,C107,6.801,10.158,11.67364,-0.3985,3.5,8.4795,-0.473,1,S O W,SON{SPACE},1198,107,H O L E,HOLE{SPACE},842,2,0,1,1283,2274
NetworksDemasking,38,1,S2,235,3,-0.685,-0.41,-0.625,-0.441,C108,8.772,8.262,12.089404,-0.533,3.5,8.517,-0.5475,3,O A K,OAK{SPACE},854,108,H O S E,HOSE{SPACE},997,3,1,1,1157,1404
NetworksDemasking,38,1,S2,86,5,-0.215,-0.643,-0.089,-0.805,C109,8.714,9.922,18.769363,-0.447,9.5,9.318,-0.429,15,R E C O M M E N D A T,{SPACE},50,109,H O T E L,HOTEL{SPACE},1777,3,0,1,NA,3699
NetworksDemasking,38,1,S2,237,4,-0.388,-0.242,-0.07,-0.499,C110,5.979,6.471,15.260579,-0.2845,5,6.225,-0.315,4,E R U P T,ERUPT{SPACE},1515,110,H U M I D,HUMID{SPACE},1747,3,1,1,1692,2668
NetworksDemasking,38,1,S2,93,3,-0.771,-0.459,-0.691,-0.739,C111,11.344,8.748,11.949549,-0.715,5,10.046,-0.615,4,M I N T,MINT{SPACE},1096,111,H U N G R Y,HUNGRY{SPACE},1908,3,1,1,3266,1854
NetworksDemasking,38,1,S2,101,Inf,-0.519,-0.461,-0.19,-0.385,C112,6.974,6.667,Inf,-0.2875,5,6.8205,-0.49,15,D U N K,DUNK{SPACE},956,112,H U S T L E,HUSTLE{SPACE},1311,3,1,1,1627,1898
