ExperimentName,subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli1,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,1,1,S1,102,2,-0.557,-0.748,-0.736,-0.68,A238,8.188,9.097,5.741831,-0.708,4.5,8.6425,-0.6525,1,H A W K,hawk{SPACE},1063,238,W I N G S,wings{SPACE},934,2,1,1,1788,1187
NetworksDemasking,1,1,S1,170,2,-0.709,-0.691,-0.557,-0.799,A239,9.115,9.139,7.643856,-0.678,5,9.127,-0.7,4,H O N E Y,honey{SPACE},1036,239,W O O D S,woods{SPACE},1046,2,1,1,1245,1738
NetworksDemasking,1,1,S1,29,5,-0.373,-0.535,-0.456,-0.412,A240,7.953,10.04,19.200236,-0.434,6,8.9965,-0.454,3,Y E A R L Y,yearly{SPACE},1036,240,W R I T E R,writer{SPACE},920,3,1,1,1262,1290
NetworksDemasking,2,1,S2,58,4,-0.38,-0.687,-0.609,-0.359,C1,8.341,6.965,17.188294,-0.484,7,7.653,-0.5335,3,D E P R E S S E D,depressed{SPACE},2151,1,A D O R E,adore{SPACE},1111,3,1,1,3320,972
NetworksDemasking,2,1,S2,146,5,0.14,-0.573,-0.068,-0.369,C2,10.471,9.112,25.121942,-0.2185,9,9.7915,-0.2165,3,I N S T R U C T I O N,instruction{SPACE},3300,2,A D V I S E,advise{SPACE},1758,2,1,1,936,896
NetworksDemasking,2,1,S2,216,2,-0.208,-0.313,-0.299,-0.582,C3,8.993,12.059,6.827924,-0.4405,7,10.526,-0.2605,4,O F F E N S E,offense{SPACE},1205,3,A G A I N S T,against{SPACE},1283,2,1,1,989,1067
NetworksDemasking,2,1,S2,228,2,-0.152,-0.482,-0.287,-0.417,C4,7.013,7.961,8.897509,-0.352,9,7.487,-0.317,4,T Y P E W R I T E R,typewriter{SPACE},2693,4,A L P H A B E T,alphabet{SPACE},3261,2,1,1,937,1097
NetworksDemasking,2,1,S2,38,5,-0.403,-0.414,-0.671,-0.181,C5,11.715,9.095,23.644901,-0.426,4,10.405,-0.4085,2,S O U N D,sound{SPACE},1515,5,A M P,amp{SPACE},1065,1,1,1,1160,743
NetworksDemasking,2,1,S2,136,4,-0.467,-0.275,-0.653,-0.648,C6,9.465,8.595,18.352422,-0.6505,6.5,9.03,-0.371,4,P H R A S E,phrase{SPACE},1256,6,A N A L Y Z E,analyze{SPACE},1480,3,1,1,840,892
NetworksDemasking,2,1,S2,65,5,-0.724,-0.291,-0.811,-0.613,C7,10.399,9.266,20.271021,-0.712,5,9.8325,-0.5075,15,H E A V Y,heavy{SPACE},1457,7,A N G L E,angle{SPACE},1785,3,1,1,1128,522
NetworksDemasking,2,1,S2,20,3,-0.306,-0.546,-0.378,-0.812,C8,6.925,9.506,12.637916,-0.595,5.5,8.2155,-0.426,4,A P A T H Y,apathy{SPACE},12575,8,A N G R Y,angry{SPACE},2454,2,1,1,1282,954
NetworksDemasking,2,1,S2,133,3,-0.691,0.551,-0.812,0.767,C9,9.518,5.704,10.090489,-0.0225,8,7.611,-0.07,6,K I L L E R,killer{SPACE},1808,9,A N N I H I L A T E,annihilate{SPACE},2274,3,1,1,1231,2649
NetworksDemasking,2,1,S2,104,4,-0.163,-0.178,-0.037,-0.586,C10,6.006,7.888,16.652638,-0.3115,6.5,6.947,-0.1705,4,B E A K E R,beaker{SPACE},1382,10,A N X I E T Y,anxiety{SPACE},1955,3,1,1,525,1335
